text,label
"""Jordan left traditional sweets, a thank-you note and the facility spotless after their game against Algeria. Despite losing a heartbreaker, they’re making sure to leave an impact in their first-ever World Cup (via @fifa)""",reaction
"""Qatar are mugs, right?""",hot_take
"""Dozens of Moroccan fans denied US Visas for World Cup, losing thousands in tickets, hotel bookings""",reaction
"""Bambino wasn't going to do shit on a random day. Let alone on a day he let the US host the world cup, after giving the president who bombed Iran a peace prize no less.""",hot_take
"""Him making fun of Italy is not really the thing you should be pissed off at Infantino about, he has like a million actually bad things he's done""",hot_take
"""Infantino also said beers would be sold in Qatar""",reaction
"""Erling Haaland has 1 goal from open play in his last 10 matches, and an average score of 6.84/10""",analysis
"""he’s incredible, also Braut Haaland looks so cool""",reaction
"""Old school striker""",hot_take
"""Peak Nordic Efficiency.... there is a reason those Viking ships went everywhere…""",reaction
"""He is not a man, he is a machine""",reaction
"""Messi watched Mbappe and Haaland earlier and was like hold my mate.""",hot_take
"""THATS MY FUCKING GOAT""",reaction
"""Nawww that’s just THE GOAT.""",reaction
"""Messi and Mbappe have a combined 10 goals in their country's last 2 World Cup matches. One of them was the finals against each other.""",analysis
"""Messi upstaging Mbappe and Haaland!""",hot_take
"""What a day, 2x Mbappe, 2x Haaland, 3x Messi.. crazy star power today""",reaction
"""Man, he’s gonna play the 2030 WC at this rate""",reaction
"""Good player this lad""",reaction
"""He’s so different man""",reaction
"""HE FINALLY HAS A WORLD CUP HAT-TRICK I COULD CRY""",reaction
"""I just love how you can immediately tell they’re trying to get it to Messi lmfaoo""",reaction
"""HE GOT A HATRICK. WHAT IS GOING ON!?!?""",reaction
"""He’s no-pressure Messi, this is his best version""",hot_take
"""GOAT. Comes and scores hattrick gets subbed. Absolute peak.""",reaction
"""They are just feeding every shot to him…Fucking great strategy.""",hot_take
"""My GOAT scored the first hat-trick of the WC""",reaction
"""59 goals in 52 games for country is such an incredible stat it's hard to even wrap your head around it. One of the greatest strikers we have ever seen and he's doing it with a non-powerhouse country like Norway.""",analysis
"""Fun fact: In a friendly against Morocco just before the World Cup, Haaland had only 4 touches in 71 minutes before being substituted, the fewest touches he has ever recorded in a match for either club and country""",analysis
"""It doesn't take an expert to notice that Joao Pedro dropping back deeper would compliment Raphinha & Vinicius more than Thiago could. They are kinda cooked for full backs & in the middle of the pitch. Maybe Ederson & Bruno could form a partnership but Fabinho & Casemiro like Danilo & Alex Sandro in an ideal world wouldn't be in Brazil squad in 2026.""",analysis
"""Eh, everybody has been busting Italy's balls for their failures to make World Cup. Maybe the politicians should work on how to fix their football federation.""",hot_take
"""Realistically they are in the top 48, possibly in even in the top 32 teams, but there's still no excuse for them losing out to Bosnia, Scotland, and Ireland; there's no excuse for that.""",hot_take
"""Lighten up and take a joke Italy. Maybe try qualifying and you’ll stop getting mocked.""",hot_take
"""Infantino makes Blatter looks like a saint""",hot_take
"""A player can decide to represent San Marino instead of Italy due to the higher chances of qualifying for the WC.""",hot_take
"""Infantino is an corrupt asshole and a thief, but this is solely on Italy being now sometimes shit, sometimes very shit, pure skill issue.""",hot_take
"""I am surprised why so many forgot just how advanced Moroccan football is today. Carlo was right that Morocco is a genuine threat.""",hot_take
"""Yes, they finished 4th at Quatar and show the world how good they are""",reaction
"""And yet their best player last night was 18 and playing only his 4th game for them.""",reaction
"""His subs did change the game to Brazil’s favour but then the totally necessary ad break killed their momentum again.""",hot_take
"""If 17 year old Pele was coming up right now at Santos he’d be benched for not being big league proven""",hot_take
"""No one in the midfield or attack had any interest in pressing or tackling anyone. Was hilarious watching Morocco just automatically get through the entire first half.""",analysis
"""They couldn't even pass the ball. It's the strangest thing, Brazilian defenders just passing around each other, they didn't even pass the ball to their RB. Few minutes in the game, I then realised why they weren't passing to him lol""",hot_take
"""I don’t think Carlo got the squad completely wrong. What surprised me most was how some players kept trying to dribble past a well-organized pressing team with 2/3 defenders around them. They also didn’t really put in the effort to win loose balls. I even noticed Marquinhos clearing the ball very casually near the end. These are players who have won the UCL and earn millions. At their clubs, they play quick, clean passes all the time. So why does everything look so different when they play for Brazil? It honestly just confuses me.""",analysis
"""Probably has to do with that bad midfield, if your midfield isn't doing anything you're going to be forced to take players on""",hot_take
"""And you need to play f…king Endrik man. He is different and can’t do worse than Igor Thiago.""",hot_take
"""Same old Brazil problems tbh. Lots of talent, but still lacking chemistry and structure.""",reaction
"""The problem for Brasil is not so much the talent or the tactics but I think a large portion of their best players are just in bad form at the moment. I mean the CBs, goalkeeper and the midfield which everyone is saying is shit are really good players.""",hot_take
"""Yep can't really be too disappointed because half of it came from the players' own inabilities and the squads incompleteness. The fullbacks offered nothing throughout the game. Paqueta was just horrible. Bruno and Casemiro had lapses too. Casemiro had too much to cover for tbh. A weak midfield and useless fullbacks. Gabriel was also so bad. Igor is barely a footballer. Endrick should start from the next game onwards. Raphinha should reflect on this performance after getting locked up by Mazaraoui like that""",hot_take
"""Winning becomes harder If four of your players (Casemiro, Igor Thiago, Raphinha and Paqueta) are useless.""",hot_take
"""I can’t believe Ancelotti left João Pedro out of the squad in favour of lumbering “big target man” Igor Thiago.""",reaction
